,npi,nppes_provider_city,nppes_provider_zip,nppes_provider_state,avg_medicare_pay_ratio,payed_to_requested_ratio,Cluster
9706,1891768388.0,LAS VEGAS,891351037,NV,0.9629340423377396,0.2697369646657653,2
9707,1013916261.0,LAS VEGAS,891280424,NV,0.9519385770471642,0.3062889902190742,2
9719,1023000270.0,HENDERSON,890157055,NV,0.961841684607103,0.27360660399955666,2
9720,1588890693.0,RENO,895021304.0,NV,0.9735570165423986,0.2284441628518093,2
9723,1982868873.0,LAS VEGAS,891096226,NV,0.9670884528146749,0.25444041430660785,2
9726,1124462056.0,LAS VEGAS,891021998,NV,0.9743017871805078,0.22524659264208316,2
9728,1588807978.0,LAS VEGAS,891283157,NV,0.9969869130690588,0.07756993727616847,2
9730,1013980580.0,LAS VEGAS,891022062,NV,0.9912339636178403,0.1321182401126578,2
9735,1154326676.0,RENO,895034723,NV,0.9992646470132951,0.038342733723548926,2
9736,1003930025.0,BOULDER CITY,890052213,NV,0.991613188402156,0.12924118765668463,2
9741,1154745586.0,LAS VEGAS,89106,NV,0.9923210027917634,0.12368923727774048,2
9742,1558583344.0,LAS VEGAS,891481253,NV,0.9904825051860954,0.1376386824997845,2
9749,1619119278.0,LAS VEGAS,891284337,NV,0.9726714511808184,0.23218580503079997,2
9752,1538130976.0,LAS VEGAS,891481253,NV,0.9879584150535279,0.15471965009306712,2
9765,1265880637.0,RENO,895215864,NV,0.992380058896027,0.12321452311118995,2
9770,1629139712.0,LAS VEGAS,891105339,NV,0.953684938437145,0.30080731074583117,2
9775,1750636981.0,LAS VEGAS,891486760,NV,0.9718241799182736,0.23570694373771653,2
9780,1245286038.0,LAS VEGAS,891064119,NV,0.9935183919613559,0.11367147766489855,2
9795,1770869737.0,RENO,895021576,NV,0.954054066393627,0.2996345080223319,2
9799,1194131854.0,LAS VEGAS,891092317,NV,0.9848919589796342,0.1731699429383121,2
9805,1639374523.0,WAIMEA,96796,HI,0.951717149801701,0.3069763293371765,2
9862,1407895444.0,KAILUA,967342519,HI,0.9770781197728349,0.21288106506023924,2
9885,1376599431.0,HONOLULU,968132402,HI,0.9752754270908882,0.22099285353306247,2
